Epoch 001 | LR 0.000060 | Train 2.2809 | Val 2.0132 | mIoU 0.1301
Epoch 002 | LR 0.000120 | Train 2.0232 | Val 1.8839 | mIoU 0.1566
Epoch 003 | LR 0.000180 | Train 1.8984 | Val 1.8178 | mIoU 0.1615
Epoch 004 | LR 0.000240 | Train 1.8599 | Val 1.8334 | mIoU 0.1490
Epoch 005 | LR 0.000300 | Train 1.8580 | Val 1.8260 | mIoU 0.1483
Epoch 006 | LR 0.000300 | Train 1.8277 | Val 1.8627 | mIoU 0.1482
Epoch 007 | LR 0.000300 | Train 1.7919 | Val 1.7872 | mIoU 0.1498
Epoch 008 | LR 0.000300 | Train 1.7688 | Val 1.7942 | mIoU 0.1529
Epoch 009 | LR 0.000300 | Train 1.7540 | Val 1.7915 | mIoU 0.1527
Epoch 010 | LR 0.000300 | Train 1.7258 | Val 1.8209 | mIoU 0.1399
Epoch 011 | LR 0.000300 | Train 1.7032 | Val 1.7404 | mIoU 0.1611
Epoch 012 | LR 0.000300 | Train 1.6922 | Val 1.7265 | mIoU 0.1663
Epoch 013 | LR 0.000300 | Train 1.6765 | Val 1.7110 | mIoU 0.1593
Epoch 014 | LR 0.000300 | Train 1.6591 | Val 1.7731 | mIoU 0.1588
Epoch 015 | LR 0.000300 | Train 1.6530 | Val 1.7800 | mIoU 0.1509
Epoch 016 | LR 0.000300 | Train 1.6462 | Val 1.7465 | mIoU 0.1616
Epoch 017 | LR 0.000300 | Train 1.6325 | Val 1.7046 | mIoU 0.1595
Epoch 018 | LR 0.000300 | Train 1.6333 | Val 1.7345 | mIoU 0.1651
Epoch 019 | LR 0.000300 | Train 1.6149 | Val 1.6850 | mIoU 0.1701
Epoch 020 | LR 0.000300 | Train 1.6086 | Val 1.7291 | mIoU 0.1731
Epoch 021 | LR 0.000300 | Train 1.6019 | Val 1.7011 | mIoU 0.1707
Epoch 022 | LR 0.000300 | Train 1.5859 | Val 1.7586 | mIoU 0.1642
Epoch 023 | LR 0.000030 | Train 1.5993 | Val 1.7281 | mIoU 0.1665
Epoch 024 | LR 0.000300 | Train 1.5780 | Val 1.7083 | mIoU 0.1696
Epoch 025 | LR 0.000300 | Train 1.5721 | Val 1.7218 | mIoU 0.1606
Epoch 026 | LR 0.000300 | Train 1.5678 | Val 1.6850 | mIoU 0.1612
Epoch 027 | LR 0.000030 | Train 1.5549 | Val 1.7747 | mIoU 0.1496
Epoch 028 | LR 0.000300 | Train 1.5599 | Val 1.7039 | mIoU 0.1615
Epoch 029 | LR 0.000300 | Train 1.5513 | Val 1.7313 | mIoU 0.1628
Epoch 030 | LR 0.000300 | Train 1.5522 | Val 1.7309 | mIoU 0.1616
Epoch 031 | LR 0.000030 | Train 1.5427 | Val 1.6964 | mIoU 0.1661
Epoch 032 | LR 0.000300 | Train 1.5526 | Val 1.6710 | mIoU 0.1765
Epoch 033 | LR 0.000300 | Train 1.5424 | Val 1.6788 | mIoU 0.1742
Epoch 034 | LR 0.000300 | Train 1.5372 | Val 1.6783 | mIoU 0.1787
Epoch 035 | LR 0.000300 | Train 1.5306 | Val 1.7084 | mIoU 0.1750
Epoch 036 | LR 0.000030 | Train 1.5341 | Val 1.7028 | mIoU 0.1706
Epoch 037 | LR 0.000300 | Train 1.5263 | Val 1.6764 | mIoU 0.1772
Epoch 038 | LR 0.000300 | Train 1.5126 | Val 1.7258 | mIoU 0.1747
Epoch 039 | LR 0.000300 | Train 1.5106 | Val 1.7344 | mIoU 0.1650
Epoch 040 | LR 0.000030 | Train 1.5197 | Val 1.7228 | mIoU 0.1667
Epoch 041 | LR 0.000300 | Train 1.5029 | Val 1.6936 | mIoU 0.1687
Epoch 042 | LR 0.000300 | Train 1.5037 | Val 1.7051 | mIoU 0.1713
Epoch 043 | LR 0.000300 | Train 1.5050 | Val 1.7019 | mIoU 0.1795
Epoch 044 | LR 0.000030 | Train 1.5023 | Val 1.6922 | mIoU 0.1723
Epoch 045 | LR 0.000300 | Train 1.4989 | Val 1.7227 | mIoU 0.1768
Epoch 046 | LR 0.000300 | Train 1.4988 | Val 1.7575 | mIoU 0.1679
Epoch 047 | LR 0.000300 | Train 1.4825 | Val 1.7158 | mIoU 0.1703
Epoch 048 | LR 0.000030 | Train 1.4866 | Val 1.7162 | mIoU 0.1702
Epoch 049 | LR 0.000300 | Train 1.4880 | Val 1.7299 | mIoU 0.1810
Epoch 050 | LR 0.000300 | Train 1.4837 | Val 1.6964 | mIoU 0.1765
Epoch 051 | LR 0.000300 | Train 1.4864 | Val 1.7254 | mIoU 0.1773
Epoch 052 | LR 0.000030 | Train 1.4793 | Val 1.7483 | mIoU 0.1751
Epoch 053 | LR 0.000300 | Train 1.4769 | Val 1.7328 | mIoU 0.1720
Epoch 054 | LR 0.000300 | Train 1.4687 | Val 1.7199 | mIoU 0.1774
Epoch 055 | LR 0.000300 | Train 1.4701 | Val 1.7047 | mIoU 0.1727
Epoch 056 | LR 0.000030 | Train 1.4656 | Val 1.7083 | mIoU 0.1770
Epoch 057 | LR 0.000300 | Train 1.4717 | Val 1.7323 | mIoU 0.1682
Epoch 058 | LR 0.000300 | Train 1.4600 | Val 1.7051 | mIoU 0.1754
Epoch 059 | LR 0.000300 | Train 1.4620 | Val 1.6842 | mIoU 0.1801
Epoch 060 | LR 0.000030 | Train 1.4605 | Val 1.7023 | mIoU 0.1684
[Test] Loss: 1.3194, mIoU: 0.1757
