Epoch 1, Train Loss: 1.9471, Val Loss: 1.8163, Val IoU: 0.0720
Epoch 2, Train Loss: 1.7815, Val Loss: 1.7430, Val IoU: 0.0711
Epoch 3, Train Loss: 1.7220, Val Loss: 1.6699, Val IoU: 0.0844
Epoch 4, Train Loss: 1.6805, Val Loss: 1.6510, Val IoU: 0.0838
Epoch 5, Train Loss: 1.6543, Val Loss: 1.6837, Val IoU: 0.0819
Epoch 6, Train Loss: 1.6344, Val Loss: 1.5886, Val IoU: 0.0892
Epoch 7, Train Loss: 1.6005, Val Loss: 1.6042, Val IoU: 0.0901
Epoch 8, Train Loss: 1.5789, Val Loss: 1.6335, Val IoU: 0.0850
Epoch 9, Train Loss: 1.5626, Val Loss: 1.6860, Val IoU: 0.0812
Epoch 10, Train Loss: 1.5491, Val Loss: 1.4978, Val IoU: 0.1080
Epoch 11, Train Loss: 1.5152, Val Loss: 1.5022, Val IoU: 0.0973
Epoch 12, Train Loss: 1.4975, Val Loss: 1.5063, Val IoU: 0.1043
Epoch 13, Train Loss: 1.4936, Val Loss: 1.4593, Val IoU: 0.1079
Epoch 14, Train Loss: 1.4840, Val Loss: 1.4504, Val IoU: 0.1042
Epoch 15, Train Loss: 1.4653, Val Loss: 1.4825, Val IoU: 0.0991
Epoch 16, Train Loss: 1.4558, Val Loss: 1.4344, Val IoU: 0.1112
Epoch 17, Train Loss: 1.4426, Val Loss: 1.4671, Val IoU: 0.1038
Epoch 18, Train Loss: 1.4360, Val Loss: 1.4427, Val IoU: 0.1033
Epoch 19, Train Loss: 1.4254, Val Loss: 1.4633, Val IoU: 0.1060
Epoch 20, Train Loss: 1.4186, Val Loss: 1.3712, Val IoU: 0.1150
Epoch 21, Train Loss: 1.4093, Val Loss: 1.3978, Val IoU: 0.1119
Epoch 22, Train Loss: 1.3973, Val Loss: 1.3770, Val IoU: 0.1216
Epoch 23, Train Loss: 1.3913, Val Loss: 1.4171, Val IoU: 0.1093
Epoch 24, Train Loss: 1.3879, Val Loss: 1.4244, Val IoU: 0.1093
Epoch 25, Train Loss: 1.2973, Val Loss: 1.2680, Val IoU: 0.1338
Epoch 26, Train Loss: 1.2689, Val Loss: 1.2493, Val IoU: 0.1359
Epoch 27, Train Loss: 1.2577, Val Loss: 1.2481, Val IoU: 0.1310
Epoch 28, Train Loss: 1.2527, Val Loss: 1.2343, Val IoU: 0.1321
Epoch 29, Train Loss: 1.2425, Val Loss: 1.2316, Val IoU: 0.1339
Epoch 30, Train Loss: 1.2361, Val Loss: 1.2285, Val IoU: 0.1309
Epoch 31, Train Loss: 1.2328, Val Loss: 1.2210, Val IoU: 0.1325
Epoch 32, Train Loss: 1.2243, Val Loss: 1.2188, Val IoU: 0.1354
Epoch 33, Train Loss: 1.2229, Val Loss: 1.2270, Val IoU: 0.1321
Epoch 34, Train Loss: 1.2198, Val Loss: 1.2154, Val IoU: 0.1354
Epoch 35, Train Loss: 1.2102, Val Loss: 1.2132, Val IoU: 0.1373
Epoch 36, Train Loss: 1.2116, Val Loss: 1.2183, Val IoU: 0.1364
Epoch 37, Train Loss: 1.2000, Val Loss: 1.2103, Val IoU: 0.1368
Epoch 38, Train Loss: 1.1981, Val Loss: 1.1999, Val IoU: 0.1412
Epoch 39, Train Loss: 1.1907, Val Loss: 1.2026, Val IoU: 0.1426
Epoch 40, Train Loss: 1.1907, Val Loss: 1.2004, Val IoU: 0.1388
[Test] Loss: 1.2235, mIoU: 0.1404

